Year,Beat,crime_counts,avg_response_time
2016,CD,1,16.78
2015,R1,3386,16.80849084465443
2009,R2,1941,16.820175167439473
2015,R3,3781,16.821335625495916
2019,F3,2631,16.82628278221213
2013,L2,3597,16.83594940227967
2012,W2,3239,16.836616239580124
2017,N3,4619,16.847421519809476
2016,F3,3108,16.851299871299904
2010,N2,2804,16.856940085592043
2009,K1,1929,16.85820632452049
2009,R1,2225,16.861483146067407
2009,F1,1692,16.864343971631218
2010,N1,2590,16.880440154440198
2010,Q2,3186,16.883653483992447
2019,C3,2036,16.89846267190566
2013,D3,3334,16.89952009598077
2010,J2,2385,16.91194968553459
2012,C2,2266,16.917621359223297
2016,L1,3735,16.92227844712188
2013,O1,1614,16.922893432465944
2010,B3,3224,16.92474875930522
2012,W,9,16.948888888888888
2018,EP,2,16.95
2015,Q3,3705,16.954118758434518
2013,W2,3358,16.977427039904693
2012,O2,1743,16.992971887550226
2013,F3,3001,16.99406531156285
2017,O3,2153,16.999939619136086
2009,L2,1784,17.00437780269058
2014,R1,3520,17.014480113636345
2016,N3,4686,17.02646393512595
2014,L2,3565,17.02817671809253
2011,J1,2409,17.028920713989205
2018,O3,2163,17.032732316227467
2019,S3,2073,17.03359864930052
2019,Q3,3594,17.048043962159134
2015,D2,3292,17.048292831105698
2017,Q3,4441,17.0500900698041
2016,N2,3114,17.050128452151572
2018,N3,4629,17.05110823071941
2018,F3,3195,17.05355868544603
2011,Q2,3114,17.06880860629418
2012,F3,2933,17.069154449369222
2019,G3,1995,17.076796992481185
2017,L2,3438,17.077707969749817
2017,L3,3333,17.078874887488766
2019,C1,2544,17.104854559748397
2013,CDD,31,17.118709677419353
2015,C1,2759,17.128412468285603
2019,N3,3740,17.134374331550756
2009,M1,1734,17.145173010380613
2015,N,11,17.16363636363636
2015,L2,3828,17.16426332288398
2016,D3,3834,17.17498956703182
2011,U3,3440,17.177595930232567
2015,CTY,8,17.215000000000003
2009,W2,1756,17.218468109339426
2015,C3,2593,17.23065946779791
2019,D3,3034,17.250431773236652
2014,N2,3581,17.25066741133765
2015,N2,3141,17.26598853868194
2018,L1,3424,17.270405957943968
2010,B2,3936,17.27341463414635
2009,N3,1800,17.278533333333346
2019,L1,2910,17.310230240549792
2011,N1,2582,17.31323392718828
2015,N3,4695,17.315537806176795
2018,ND,1,17.32
2014,O3,1915,17.327655352480395
2009,C2,1244,17.337588424437296
2019,W1,2874,17.350831593597714
2009,CDD,3,17.37
2014,O1,1821,17.38629873695772
2019,L2,2626,17.396473724295493
2015,U2,4252,17.401834430856084
2017,S3,2851,17.40493511048758
2017,C2,2424,17.40704207920796
2016,L3,3287,17.434167934286588
2011,B2,3406,17.435810334703493
2016,U2,3865,17.458380336351862
2013,C2,2329,17.46618291112066
2012,W3,3013,17.498891470295373
2019,W2,3398,17.504064155385542
2015,F3,3176,17.506725440806058
2013,W3,2992,17.516898395721853
2009,F3,1457,17.517886067261482
2018,C3,2524,17.523946117274168
2010,J3,2408,17.529007475083024
2010,99,152,17.534407894736855
2011,B3,3005,17.535876871880177
2019,L3,2849,17.53961389961393
2018,Q3,3840,17.546945312499993
2015,D3,3516,17.548708759954494
2014,D3,3113,17.551185351750735
2019,W3,2335,17.590852248394057
2016,W3,2792,17.595071633237772
2017,D3,3683,17.604775997827847
2018,R1,2734,17.613233357717636
2019,N2,2937,17.633636363636356
2012,J1,2406,17.64045719035745
2013,J1,2622,17.64246376811593
2014,J1,2774,17.65138788752701
2014,W2,3174,17.652511027095102
2017,W2,3849,17.664211483502257
2015,U1,4127,17.709515386479286
2018,N2,3263,17.7133251608949
2012,Q1,2359,17.722992793556568
2019,R3,2205,17.732489795918397
2014,W3,2805,17.736959001782537
2018,W2,3771,17.740209493503098
2017,W3,2748,17.75648107714699
2018,L3,3165,17.75679304897315
2012,U3,3665,17.76775443383358
2019,R1,2392,17.79859531772575
2009,N2,1486,17.802651413189754
2018,D3,3606,17.804880754298384
2015,C2,2322,17.81436692506462
2017,U2,4223,17.81523798247687
2015,W3,2670,17.829674157303394
2018,U2,4001,17.843606598350416
2010,B1,3462,17.845583477758556
2017,N1,2451,17.86356589147288
2009,O1,1061,17.873600377002823
2013,W1,3365,17.88550965824667
2011,J3,2437,17.913836684448093
2011,W,4,17.9175
2019,U2,3749,17.927420645505467
2014,F3,3228,17.9375960346964
2018,R3,2621,17.94777947348337
2009,J1,1604,17.949794264339154
2018,L2,3175,17.956125984251976
2009,W3,1682,17.959542211652792
2012,W1,3226,17.969866707997543
2017,DET,1,17.98
2009,W1,1715,18.000454810495615
2017,B2,3378,18.013463587921844
2015,W2,3212,18.01733810709837
2013,N1,2546,18.02551453260022
2009,Q1,1434,18.030725244072542
2017,HS,2,18.045
2018,S3,2725,18.066807339449504
2011,N,9,18.092222222222222
2014,Q2,3365,18.09225260029717
2015,L3,2991,18.093373453694433
2009,B3,1909,18.128858040859097
2017,U1,4426,18.150029371893382
2016,J1,2895,18.15126079447326
2014,W1,3270,18.155152905198793
2018,C2,2255,18.159720620842556
2016,U1,4358,18.17312069756774
2018,W3,2532,18.194451026856264
2019,C2,1942,18.19528321318226
